================ Training Loss (Wed Sep 29 14:38:01 2021) ================
   Avg Run Time (ms/batch): 28.271 auc: 0.588 max auc: 0.588
   Avg Run Time (ms/batch): 35.600 auc: 0.443 max auc: 0.588
   Avg Run Time (ms/batch): 37.749 auc: 0.463 max auc: 0.588
   Avg Run Time (ms/batch): 36.118 auc: 0.418 max auc: 0.588
   Avg Run Time (ms/batch): 40.057 auc: 0.433 max auc: 0.588
   Avg Run Time (ms/batch): 33.043 auc: 0.439 max auc: 0.588
   Avg Run Time (ms/batch): 41.117 auc: 0.413 max auc: 0.588
   Avg Run Time (ms/batch): 35.084 auc: 0.370 max auc: 0.588
   Avg Run Time (ms/batch): 33.664 auc: 0.486 max auc: 0.588
   Avg Run Time (ms/batch): 37.401 auc: 0.369 max auc: 0.588
   Avg Run Time (ms/batch): 32.224 auc: 0.451 max auc: 0.588
   Avg Run Time (ms/batch): 39.919 auc: 0.464 max auc: 0.588
   Avg Run Time (ms/batch): 36.837 auc: 0.391 max auc: 0.588
   Avg Run Time (ms/batch): 36.574 auc: 0.473 max auc: 0.588
   Avg Run Time (ms/batch): 32.587 auc: 0.489 max auc: 0.588
   Avg Run Time (ms/batch): 36.996 auc: 0.449 max auc: 0.588
   Avg Run Time (ms/batch): 38.460 auc: 0.430 max auc: 0.588
   Avg Run Time (ms/batch): 36.423 auc: 0.392 max auc: 0.588
   Avg Run Time (ms/batch): 34.667 auc: 0.401 max auc: 0.588
   Avg Run Time (ms/batch): 35.891 auc: 0.354 max auc: 0.588
   Avg Run Time (ms/batch): 36.019 auc: 0.470 max auc: 0.588
   Avg Run Time (ms/batch): 33.632 auc: 0.469 max auc: 0.588
   Avg Run Time (ms/batch): 30.888 auc: 0.426 max auc: 0.588
   Avg Run Time (ms/batch): 29.941 auc: 0.414 max auc: 0.588
   Avg Run Time (ms/batch): 34.765 auc: 0.434 max auc: 0.588
   Avg Run Time (ms/batch): 36.682 auc: 0.318 max auc: 0.588
   Avg Run Time (ms/batch): 35.035 auc: 0.431 max auc: 0.588
   Avg Run Time (ms/batch): 40.329 auc: 0.500 max auc: 0.588
   Avg Run Time (ms/batch): 35.098 auc: 0.436 max auc: 0.588
   Avg Run Time (ms/batch): 40.271 auc: 0.441 max auc: 0.588
   Avg Run Time (ms/batch): 32.725 auc: 0.309 max auc: 0.588
   Avg Run Time (ms/batch): 40.322 auc: 0.522 max auc: 0.588
   Avg Run Time (ms/batch): 37.952 auc: 0.469 max auc: 0.588
   Avg Run Time (ms/batch): 40.668 auc: 0.337 max auc: 0.588
   Avg Run Time (ms/batch): 38.126 auc: 0.412 max auc: 0.588
   Avg Run Time (ms/batch): 35.187 auc: 0.598 max auc: 0.598
   Avg Run Time (ms/batch): 35.536 auc: 0.487 max auc: 0.598
   Avg Run Time (ms/batch): 39.744 auc: 0.550 max auc: 0.598
   Avg Run Time (ms/batch): 32.279 auc: 0.517 max auc: 0.598
   Avg Run Time (ms/batch): 33.249 auc: 0.506 max auc: 0.598
   Avg Run Time (ms/batch): 34.908 auc: 0.502 max auc: 0.598
   Avg Run Time (ms/batch): 37.876 auc: 0.503 max auc: 0.598
   Avg Run Time (ms/batch): 29.293 auc: 0.549 max auc: 0.598
   Avg Run Time (ms/batch): 31.326 auc: 0.525 max auc: 0.598
   Avg Run Time (ms/batch): 37.659 auc: 0.594 max auc: 0.598
   Avg Run Time (ms/batch): 32.870 auc: 0.487 max auc: 0.598
   Avg Run Time (ms/batch): 35.001 auc: 0.540 max auc: 0.598
   Avg Run Time (ms/batch): 37.857 auc: 0.493 max auc: 0.598
   Avg Run Time (ms/batch): 35.279 auc: 0.488 max auc: 0.598
   Avg Run Time (ms/batch): 31.184 auc: 0.460 max auc: 0.598
   Avg Run Time (ms/batch): 32.242 auc: 0.383 max auc: 0.598
   Avg Run Time (ms/batch): 36.189 auc: 0.463 max auc: 0.598
   Avg Run Time (ms/batch): 33.323 auc: 0.460 max auc: 0.598
   Avg Run Time (ms/batch): 33.891 auc: 0.424 max auc: 0.598
   Avg Run Time (ms/batch): 33.805 auc: 0.372 max auc: 0.598
   Avg Run Time (ms/batch): 35.251 auc: 0.476 max auc: 0.598
   Avg Run Time (ms/batch): 31.832 auc: 0.454 max auc: 0.598
   Avg Run Time (ms/batch): 40.137 auc: 0.432 max auc: 0.598
   Avg Run Time (ms/batch): 33.372 auc: 0.551 max auc: 0.598
   Avg Run Time (ms/batch): 33.397 auc: 0.538 max auc: 0.598
   Avg Run Time (ms/batch): 33.249 auc: 0.406 max auc: 0.598
   Avg Run Time (ms/batch): 37.397 auc: 0.391 max auc: 0.598
   Avg Run Time (ms/batch): 34.919 auc: 0.373 max auc: 0.598
   Avg Run Time (ms/batch): 32.429 auc: 0.327 max auc: 0.598
   Avg Run Time (ms/batch): 37.828 auc: 0.487 max auc: 0.598
   Avg Run Time (ms/batch): 33.829 auc: 0.473 max auc: 0.598
   Avg Run Time (ms/batch): 36.891 auc: 0.497 max auc: 0.598
   Avg Run Time (ms/batch): 38.001 auc: 0.424 max auc: 0.598
   Avg Run Time (ms/batch): 34.975 auc: 0.448 max auc: 0.598
   Avg Run Time (ms/batch): 28.699 auc: 0.538 max auc: 0.598
